City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Sakaraha,MG,-22.9,44.5333,59.11,80,0,4.52,clear sky
252,Along,IN,28.1667,94.7667,75.38,100,100,0.85,overcast clouds
253,Bengkulu,ID,-3.8004,102.2655,75.13,88,3,3.6,clear sky
254,Kisac,RS,45.3503,19.7286,67.78,27,5,3.27,clear sky
255,Antalaha,MG,-14.9003,50.2788,67.1,84,89,11.3,light rain
256,Carutapera,BR,-1.195,-46.02,77.92,84,77,8.59,broken clouds
257,Talcahuano,CL,-36.7167,-73.1167,47.88,71,0,8.05,clear sky
258,Kruisfontein,ZA,-34.0033,24.7314,57.88,93,55,1.59,broken clouds
259,Cayenne,GF,4.9333,-52.3333,82.09,1,75,1.14,broken clouds
260,Tiksi,RU,71.6872,128.8694,34.81,94,100,16.75,overcast clouds
261,Belmonte,BR,-15.8631,-38.8828,72.05,75,21,7.02,few clouds
262,Powell River,CA,49.8496,-124.5361,68.02,63,100,5.75,overcast clouds
263,Phibun Mangsahan,TH,15.2447,105.2291,76.98,91,78,6.78,broken clouds
264,Port Elizabeth,ZA,-33.918,25.5701,63.32,91,43,3.0,scattered clouds
265,Torbay,CA,47.6666,-52.7314,70.57,70,75,11.5,broken clouds
266,Waddan,LY,29.1614,16.139,79.83,43,0,13.96,clear sky
267,Ostrovnoy,RU,68.0531,39.5131,53.62,88,6,9.01,clear sky
268,Srednekolymsk,RU,67.45,153.6833,65.52,46,97,7.92,overcast clouds
269,Goderich,CA,43.7501,-81.7165,73.72,64,2,6.91,clear sky
270,Sao Joao De Pirabas,BR,-0.7747,-47.1772,75.97,92,43,9.17,scattered clouds
271,Port Hardy,CA,50.6996,-127.4199,62.78,67,100,9.22,overcast clouds
272,Oksfjord,NO,70.2396,22.3479,51.87,99,100,5.46,light rain
273,Kurumkan,RU,54.3,110.3,65.03,51,37,3.6,scattered clouds
274,Luanda,AO,-8.8368,13.2343,68.59,92,0,7.2,clear sky
275,Kuopio,FI,62.8924,27.677,55.35,88,0,5.75,clear sky
276,Novo Aripuana,BR,-5.1206,-60.3797,84.27,50,35,1.63,scattered clouds
277,Point Pleasant,US,40.0832,-74.0682,89.29,70,0,12.66,clear sky
278,Panjab,AF,34.388,67.0233,59.9,28,0,5.48,clear sky
279,Klyuchi,RU,52.2667,79.1667,57.42,69,5,7.78,clear sky
280,Almaznyy,RU,48.0448,40.045,57.38,58,0,8.59,clear sky
281,Les Escoumins,CA,48.1111,-69.0236,56.55,59,59,10.63,broken clouds
282,Sisimiut,GL,66.9395,-53.6735,45.72,88,100,3.78,overcast clouds
283,Umm Lajj,SA,25.0213,37.2685,86.65,54,0,7.05,clear sky
284,Nacogdoches,US,31.6002,-94.6335,102.76,39,0,10.36,clear sky
285,Codrington,AU,-38.2667,141.9667,46.6,72,100,4.85,overcast clouds
286,Samarai,PG,-10.6167,150.6667,79.74,83,22,8.88,few clouds
287,Medea,DZ,36.2642,2.7539,75.42,38,2,3.58,clear sky
288,Landshut,DE,48.5333,12.15,71.19,66,76,1.01,broken clouds
289,Taltal,CL,-25.4,-70.4833,61.45,70,14,3.91,few clouds
290,Ereymentau,KZ,51.6199,73.1033,64.0,51,79,4.76,broken clouds
291,Great Falls,US,47.5002,-111.3008,81.79,12,0,43.73,clear sky
292,Rocha,UY,-34.4833,-54.3333,47.26,88,7,4.97,clear sky
293,Sayula,MX,19.8667,-103.6167,71.15,81,100,3.38,overcast clouds
294,Guangyuan,CN,32.442,105.823,66.99,94,100,5.39,overcast clouds
295,Shingu,JP,33.7333,135.9833,80.26,86,100,7.96,heavy intensity rain
296,Bairiki,KI,1.3292,172.9752,86.0,70,20,11.5,few clouds
297,Ushtobe,KZ,45.2514,77.9838,69.62,35,33,10.56,scattered clouds
298,Mareeba,AU,-17.0,145.4333,63.32,88,3,2.19,clear sky
299,Katiola,CI,8.1333,-5.1,75.83,89,85,7.87,overcast clouds
300,Inhambane,MZ,-23.865,35.3833,68.14,88,3,2.42,clear sky
301,Roald,NO,62.5833,6.1333,58.75,76,75,9.22,broken clouds
302,Ginda,IN,30.6945,78.4932,68.76,91,87,0.49,overcast clouds
303,Vestmannaeyjar,IS,63.4427,-20.2734,52.0,87,100,13.89,moderate rain
304,Smithers,CA,54.7804,-127.1743,64.02,68,97,6.33,overcast clouds
305,Mastung,PK,29.7994,66.845,74.1,67,20,4.09,few clouds
306,Tura,IN,25.5198,90.2201,74.26,97,98,5.39,overcast clouds
307,Bontang,ID,0.1333,117.5,78.33,84,100,1.99,overcast clouds
308,Nizhniy Kuranakh,RU,58.8353,125.4869,65.07,91,93,2.3,overcast clouds
309,Filadelfia,US,39.9523,-75.1638,91.29,65,75,13.8,broken clouds
310,Necochea,AR,-38.5473,-58.7368,43.38,75,8,9.66,clear sky
311,Boda,CF,4.3189,17.4695,69.66,96,100,2.55,overcast clouds
312,Upernavik,GL,72.7868,-56.1549,43.92,75,100,0.38,overcast clouds
